seed,mode,sec_idx,sec_mean,sec_var,equil_price,total_demand,supply,excess,tat_iters,converged,max_rel_excess
7,correlated,18,7.404015313143204,7.404015313143204,1,180,20,160,500,false,74.0
7,correlated,7,8.782508416749518,8.782508416749518,4,20,20,0,500,false,74.0
7,correlated,14,9.208283985996731,9.208283985996731,6,20,20,0,500,false,74.0
7,correlated,2,8.093076639286066,8.093076639286066,1,1500,20,1480,500,false,74.0
7,correlated,6,5.576063321179994,5.576063321179994,1,0,20,-20,500,false,74.0
7,correlated,13,2.4266181073732613,2.4266181073732613,1,0,20,-20,500,false,74.0
7,correlated,9,6.943350875552825,6.943350875552825,1,0,20,-20,500,false,74.0
7,correlated,11,2.7878017938020565,2.7878017938020565,1,0,20,-20,500,false,74.0
7,correlated,19,2.9686047033484226,2.9686047033484226,1,0,20,-20,500,false,74.0
7,correlated,8,2.9966749371583004,2.9966749371583004,1,0,20,-20,500,false,74.0
7,correlated,20,3.5775470048959246,3.5775470048959246,1,0,20,-20,500,false,74.0
7,independent,4,2.6419059446374322,2.6419059446374322,1,0,20,-20,500,false,89.0
7,independent,3,9.988536956926358,9.988536956926358,13,20,20,0,500,false,89.0
7,independent,1,5.9308461389880085,5.9308461389880085,1,0,20,-20,500,false,89.0
7,independent,5,8.321559546907693,8.321559546907693,1,0,20,-20,500,false,89.0
7,independent,15,3.912917647717336,3.912917647717336,1,0,20,-20,500,false,89.0
7,independent,12,8.669082553053492,8.669082553053492,1,1800,20,1780,500,false,89.0
7,independent,17,6.1358923718872,6.1358923718872,1,0,20,-20,500,false,89.0
7,independent,16,6.990724919736315,6.990724919736315,1,0,20,-20,500,false,89.0
7,independent,10,7.931345427542172,7.931345427542172,1,0,20,-20,500,false,89.0
7,independent,18,7.404015313143204,7.404015313143204,1,0,20,-20,500,false,89.0
7,independent,7,8.782508416749518,8.782508416749518,2,0,20,-20,500,false,89.0
7,independent,14,9.208283985996731,9.208283985996731,5,20,20,0,500,false,89.0
7,independent,2,8.093076639286066,8.093076639286066,1,0,20,-20,500,false,89.0
7,independent,6,5.576063321179994,5.576063321179994,1,0,20,-20,500,false,89.0
7,independent,13,2.4266181073732613,2.4266181073732613,1,0,20,-20,500,false,89.0
