seed,mode,agent_idx,cons,sec_count,n_sec_types,utility,tat_iters,converged
8,independent,15,395,20,8,10.790946582037073,500,false
8,independent,16,395,20,8,10.790946582037073,500,false
8,independent,17,395,20,8,10.790946582037073,500,false
8,independent,18,395,20,8,10.790946582037073,500,false
8,independent,19,395,20,8,10.790946582037073,500,false
8,independent,20,395,20,8,10.790946582037073,500,false
9,correlated,1,399,18,12,10.654933480870307,500,false
9,correlated,2,399,18,12,10.654933480870307,500,false
9,correlated,3,399,18,12,10.654933480870307,500,false
9,correlated,4,399,18,12,10.654933480870307,500,false
9,correlated,5,399,18,12,10.654933480870307,500,false
9,correlated,6,399,18,12,10.654933480870307,500,false
9,correlated,7,399,18,12,10.654933480870307,500,false
9,correlated,8,399,18,12,10.654933480870307,500,false
9,correlated,9,399,18,12,10.654933480870307,500,false
9,correlated,10,399,18,12,10.654933480870307,500,false
9,correlated,11,399,18,12,10.654933480870307,500,false
9,correlated,12,399,18,12,10.654933480870307,500,false
9,correlated,13,399,18,12,10.654933480870307,500,false
9,correlated,14,399,18,12,10.654933480870307,500,false
9,correlated,15,399,18,12,10.654933480870307,500,false
9,correlated,16,399,18,12,10.654933480870307,500,false
9,correlated,17,399,18,12,10.654933480870307,500,false
9,correlated,18,399,18,12,10.654933480870307,500,false
9,correlated,19,399,18,12,10.654933480870307,500,false
9,correlated,20,399,18,12,10.654933480870307,500,false
9,independent,1,376,22,6,10.62552027074615,500,false
9,independent,2,376,22,6,10.62552027074615,500,false
9,independent,3,376,22,6,10.62552027074615,500,false
9,independent,4,376,22,6,10.62552027074615,500,false
9,independent,5,376,22,6,10.62552027074615,500,false
9,independent,6,376,22,6,10.62552027074615,500,false
9,independent,7,376,22,6,10.62552027074615,500,false
9,independent,8,376,22,6,10.62552027074615,500,false
9,independent,9,376,22,6,10.62552027074615,500,false
9,independent,10,376,22,6,10.62552027074615,500,false
9,independent,11,376,22,6,10.62552027074615,500,false
9,independent,12,376,22,6,10.62552027074615,500,false
9,independent,13,376,22,6,10.62552027074615,500,false
9,independent,14,376,22,6,10.62552027074615,500,false
9,independent,15,376,22,6,10.62552027074615,500,false
9,independent,16,376,22,6,10.62552027074615,500,false
9,independent,17,376,22,6,10.62552027074615,500,false
9,independent,18,376,22,6,10.62552027074615,500,false
9,independent,19,376,22,6,10.62552027074615,500,false
9,independent,20,376,22,6,10.62552027074615,500,false
10,correlated,1,412,21,12,10.798748049566335,500,false
10,correlated,2,412,21,12,10.798748049566335,500,false
10,correlated,3,412,21,12,10.798748049566335,500,false
10,correlated,4,412,21,12,10.798748049566335,500,false
10,correlated,5,412,21,12,10.798748049566335,500,false
10,correlated,6,412,21,12,10.798748049566335,500,false
10,correlated,7,412,21,12,10.798748049566335,500,false
10,correlated,8,412,21,12,10.798748049566335,500,false
10,correlated,9,412,21,12,10.798748049566335,500,false
10,correlated,10,412,21,12,10.798748049566335,500,false
10,correlated,11,412,21,12,10.798748049566335,500,false
10,correlated,12,412,21,12,10.798748049566335,500,false
10,correlated,13,412,21,12,10.798748049566335,500,false
10,correlated,14,412,21,12,10.798748049566335,500,false
10,correlated,15,412,21,12,10.798748049566335,500,false
10,correlated,16,412,21,12,10.798748049566335,500,false
10,correlated,17,412,21,12,10.798748049566335,500,false
10,correlated,18,412,21,12,10.798748049566335,500,false
10,correlated,19,412,21,12,10.798748049566335,500,false
10,correlated,20,412,21,12,10.798748049566335,500,false
10,independent,1,370,25,7,10.742431378197661,500,false
10,independent,2,370,25,7,10.742431378197661,500,false
10,independent,3,370,25,7,10.742431378197661,500,false
10,independent,4,370,25,7,10.742431378197661,500,false
10,independent,5,370,25,7,10.742431378197661,500,false
10,independent,6,370,25,7,10.742431378197661,500,false
10,independent,7,370,25,7,10.742431378197661,500,false
10,independent,8,370,25,7,10.742431378197661,500,false
10,independent,9,370,25,7,10.742431378197661,500,false
10,independent,10,370,25,7,10.742431378197661,500,false
10,independent,11,370,25,7,10.742431378197661,500,false
10,independent,12,370,25,7,10.742431378197661,500,false
10,independent,13,370,25,7,10.742431378197661,500,false
10,independent,14,370,25,7,10.742431378197661,500,false
10,independent,15,370,25,7,10.742431378197661,500,false
10,independent,16,370,25,7,10.742431378197661,500,false
10,independent,17,370,25,7,10.742431378197661,500,false
10,independent,18,370,25,7,10.742431378197661,500,false
10,independent,19,370,25,7,10.742431378197661,500,false
10,independent,20,370,25,7,10.742431378197661,500,false
