seed,mode,sec_idx,sec_mean,sec_var,equil_price,total_demand,supply,excess,tat_iters,converged
176,independent,2,1.2447166244770913,1.2447166244770913,6,0,20,-20,500,false
176,independent,4,9.165741268765288,9.165741268765288,80,0,20,-20,500,false
176,independent,12,7.799779702968892,7.799779702968892,50,20,20,0,500,false
176,independent,15,6.09861567457808,6.09861567457808,36,0,20,-20,500,false
176,independent,18,2.516875260997467,2.516875260997467,12,0,20,-20,500,false
176,independent,9,3.533110175486228,3.533110175486228,17,0,20,-20,500,false
176,independent,8,9.753925298354202,9.753925298354202,104,20,20,0,500,false
176,independent,19,5.434520211231326,5.434520211231326,26,40,20,20,500,false
176,independent,7,2.3308255653194636,2.3308255653194636,10,0,20,-20,500,false
176,independent,10,6.08645325041477,6.08645325041477,31,40,20,20,500,false
176,independent,5,2.2715403793381865,2.2715403793381865,11,0,20,-20,500,false
176,independent,11,3.548121381037491,3.548121381037491,15,0,20,-20,500,false
176,independent,16,3.2748037736357736,3.2748037736357736,13,60,20,40,500,false
176,independent,3,3.6957188299991333,3.6957188299991333,17,0,20,-20,500,false
176,independent,6,1.6126500106215653,1.6126500106215653,5,340,20,320,500,false
176,independent,13,6.782226403604168,6.782226403604168,39,0,20,-20,500,false
176,independent,14,2.7461127464724298,2.7461127464724298,12,0,20,-20,500,false
176,independent,17,8.303865752035918,8.303865752035918,57,60,20,40,500,false
176,independent,1,5.894036173429725,5.894036173429725,30,0,20,-20,500,false
176,independent,20,9.588662567994607,9.588662567994607,95,20,20,0,500,false
177,correlated,13,9.983804450668686,9.983804450668686,89,20,20,0,500,false
177,correlated,16,7.9116160416845895,7.9116160416845895,44,20,20,0,500,false
177,correlated,15,7.328666723885669,7.328666723885669,38,20,20,0,500,false
177,correlated,1,1.9539513574198422,1.9539513574198422,8,0,20,-20,500,false
177,correlated,7,4.064484222264679,4.064484222264679,19,0,20,-20,500,false
177,correlated,10,4.200822143643997,4.200822143643997,17,0,20,-20,500,false
177,correlated,9,5.6820111915633325,5.6820111915633325,24,40,20,20,500,false
177,correlated,3,3.3550016280107715,3.3550016280107715,13,0,20,-20,500,false
177,correlated,2,5.151200615414255,5.151200615414255,21,60,20,40,500,false
177,correlated,14,9.550484605050794,9.550484605050794,77,20,20,0,500,false
177,correlated,18,3.0956850647683,3.0956850647683,13,0,20,-20,500,false
177,correlated,20,1.2325931127956322,1.2325931127956322,6,0,20,-20,500,false
177,correlated,4,1.6091880973446129,1.6091880973446129,5,180,20,160,500,false
177,correlated,17,2.1386505252665717,2.1386505252665717,10,0,20,-20,500,false
177,correlated,8,8.451726280743133,8.451726280743133,49,20,20,0,500,false
177,correlated,19,9.316117415733913,9.316117415733913,67,20,20,0,500,false
177,correlated,11,9.018268780384316,9.018268780384316,59,20,20,0,500,false
177,correlated,12,6.916146077789205,6.916146077789205,35,0,20,-20,500,false
177,correlated,5,4.471291721579932,4.471291721579932,20,0,20,-20,500,false
177,correlated,6,3.164062791648453,3.164062791648453,11,80,20,60,500,false
177,independent,13,9.983804450668686,9.983804450668686,109,20,20,0,500,false
177,independent,16,7.9116160416845895,7.9116160416845895,47,0,20,-20,500,false
177,independent,15,7.328666723885669,7.328666723885669,40,0,20,-20,500,false
177,independent,1,1.9539513574198422,1.9539513574198422,7,20,20,0,500,false
